F12,F13,F23,Simulated_Quaternion,Deviation_Angle
0.0,0.0,0.0,[ 0.04036133 -0.54427117 -0.34977419 -0.7614446 ],10.62567051105451
1e-08,0.0,0.0,[ 0.04036093 -0.5442713  -0.34977463 -0.76144432],10.625598430270813
0.0,1e-08,0.0,[ 0.04036122 -0.54427093 -0.34977407 -0.76144483],10.625682243313898
0.0,0.0,1e-08,[ 0.04036091 -0.54427125 -0.3497734  -0.76144492],10.625677696416194
0.003,-0.003,-0.003,[0.0800818  0.5355534  0.01757862 0.84051202],44.81376374404292
0.00299999,-0.003,-0.003,[0.08008223 0.53555316 0.01757881 0.84051212],44.813755544983856
0.003,-0.00299999,-0.003,[0.08008025 0.53555495 0.01757719 0.8405112 ],44.81385782055361
0.003,-0.003,-0.00299999,[0.0800831  0.53555211 0.01757924 0.8405127 ],44.813749121093345
0.0002498140546862514,-0.0002498140546862514,-0.0002498140546862514,[ 0.04693727 -0.55036392 -0.38196399 -0.74094531],9.688407680451883
0.0002498240546862514,-0.0002498140546862514,-0.0002498140546862514,[ 0.0469371  -0.55036396 -0.38196432 -0.74094513],9.688382937288628
0.0002498140546862514,-0.0002498040546862514,-0.0002498140546862514,[ 0.04693687 -0.55036376 -0.38196395 -0.74094548],9.688370605940307
0.0002498140546862514,-0.0002498140546862514,-0.0002498040546862514,[ 0.04693649 -0.55036407 -0.38196332 -0.7409456 ],9.688325141765315
0.0001223052203326434,-0.0001223052203326434,-0.0001223052203326434,[ 0.04190756 -0.5477369  -0.36619334 -0.7510862 ],9.712854660137198
0.0001223152203326434,-0.0001223052203326434,-0.0001223052203326434,[ 0.04190716 -0.54773701 -0.36619376 -0.75108594],9.712791590787107
0.0001223052203326434,-0.0001222952203326434,-0.0001223052203326434,[ 0.04190745 -0.54773666 -0.36619322 -0.75108644],9.712860684258382
0.0001223052203326434,-0.0001223052203326434,-0.0001222952203326434,[ 0.04190715 -0.54773697 -0.36619256 -0.75108656],9.712841867389693
0.0008372717827047993,-0.0004096418937338419,-6.2381695361125e-05,[ 0.03395067 -0.55707377 -0.38747146 -0.73374522],7.986218906917358
0.0008372817827047994,-0.0004096418937338419,-6.2381695361125e-05,[ 0.03395071 -0.55707375 -0.3874717  -0.7337451 ],7.986224159150179
0.0008372717827047993,-0.0004096318937338419,-6.2381695361125e-05,[ 0.03394995 -0.55707364 -0.38747161 -0.73374527],7.986141046117747
0.0008372717827047993,-0.0004096418937338419,-6.2371695361125e-05,[ 0.03394944 -0.55707405 -0.38747102 -0.73374529],7.986074304413403
0.0019221176674552557,-0.0004165078432014444,0.0006367826336526923,[0.07118422 0.58543083 0.40376521 0.69941205],6.025245481317387
0.0019221276674552556,-0.0004165078432014444,0.0006367826336526923,[0.07118481 0.58543099 0.40376502 0.69941196],6.025296842457255
0.0019221176674552557,-0.0004164978432014444,0.0006367826336526923,[0.07118385 0.58543055 0.4037651  0.69941237],6.025181998507314
0.0019221176674552557,-0.0004165078432014444,0.0006367926336526923,[0.07118372 0.58543029 0.40376579 0.69941221],6.025199631217845
0.001477519315839455,-6.660146431978548e-05,0.0005494020463606767,[0.0289288  0.57343403 0.40098473 0.71382615],2.5367146063341144
0.0014775293158394548,-6.660146431978548e-05,0.0005494020463606767,[0.02892941 0.57343472 0.40098378 0.71382611],2.53664105870768
0.001477519315839455,-6.659146431978549e-05,0.0005494020463606767,[0.02892859 0.57343403 0.40098416 0.71382649],2.5366501774289785
0.001477519315839455,-6.660146431978548e-05,0.0005494120463606768,[0.02893008 0.573434   0.40098486 0.71382606],2.5366935745753008
0.0016146779318097135,0.000557543202814706,0.0007802787893347767,[0.07297538 0.57449552 0.35127995 0.73568464],5.995997072710912
0.0016146879318097134,0.000557543202814706,0.0007802787893347767,[0.07297645 0.57449717 0.3512786  0.73568389],5.99619765311008
0.0016146779318097135,0.000557553202814706,0.0007802787893347767,[0.07297663 0.57449485 0.35127933 0.73568533],5.996152512854526
0.0016146779318097135,0.000557543202814706,0.0007802887893347768,[0.0729755  0.57449459 0.35128047 0.7356851 ],5.995964280388465
0.0015178111112426954,0.00011674763885036882,0.0006172245336719813,[0.03637528 0.57642737 0.38674428 0.7189139 ],1.3805167137111762
0.0015178211112426953,0.00011674763885036882,0.0006172245336719813,[0.03637608 0.5764282  0.38674319 0.71891378],1.3805905452460037
0.0015178111112426954,0.00011675763885036881,0.0006172245336719813,[0.03637534 0.57642745 0.38674361 0.71891419],1.3804910056785058
0.0015178111112426954,0.00011674763885036882,0.0006172345336719813,[0.03637591 0.57642719 0.38674454 0.71891386],1.3805206515277502
0.0012473075584164414,0.0011004150747868373,0.0007473746252340909,[0.04556567 0.53983567 0.34389379 0.76696693],7.424529129905145
0.0012473175584164413,0.0011004150747868373,0.0007473746252340909,[0.04556588 0.53983603 0.34389375 0.76696669],7.424501361041157
0.0012473075584164414,0.0011004250747868372,0.0007473746252340909,[0.04556543 0.53983559 0.34389343 0.76696717],7.4245722590482615
0.0012473075584164414,0.0011004150747868373,0.000747384625234091,[0.04556617 0.53983572 0.34389347 0.76696702],7.424566124115429
0.0014871196978452584,0.00022835483811445482,0.0006319914016931664,[0.03627071 0.57424836 0.38344698 0.7224207 ],0.940662770001438
0.0014871296978452584,0.00022835483811445482,0.0006319914016931664,[0.03627153 0.57424927 0.38344578 0.72242057],0.9407989147134975
0.0014871196978452584,0.00022836483811445482,0.0006319914016931664,[0.03627091 0.57424842 0.38344635 0.72242098],0.940669169010613
0.0014871196978452584,0.00022835483811445482,0.0006320014016931665,[0.03627117 0.57424819 0.38344722 0.72242069],0.9406543910425053
0.0010170489987350478,0.0013230638796030644,0.0008161500793161465,[0.04199312 0.53084506 0.33382084 0.77781987],9.333257336273478
0.0010170489987350478,0.0013230738796030643,0.0008161500793161465,[0.04199319 0.53084498 0.33382056 0.77782004],9.33329345589449
0.0010170489987350478,0.0013230638796030644,0.0008161600793161466,[0.04199352 0.53084509 0.33382048 0.77781998],9.3332932776366
0.0014871196978452584,0.00022835483811445482,0.0006319914016931664,[0.03627071 0.57424836 0.38344698 0.7224207 ],0.940662770001438
0.0014871296978452584,0.00022835483811445482,0.0006319914016931664,[0.03627153 0.57424927 0.38344578 0.72242057],0.9407989147134975
0.0014871196978452584,0.00022836483811445482,0.0006319914016931664,[0.03627091 0.57424842 0.38344635 0.72242098],0.940669169010613
0.0014871196978452584,0.00022835483811445482,0.0006320014016931665,[0.03627117 0.57424819 0.38344722 0.72242069],0.9406543910425053
